Model,Dataset,Accuracy,Precision,Recall,F1-Score,Support,Filtered
BART (Conditional),CARER,92.83,0.93,0.85,0.88,2000,0
BART (Conditional),HATE,90.94,0.79,0.74,0.76,1071,0
BART (Conditional),SST2,93.01,0.93,0.93,0.93,872,0
T5 (Conditional),CARER,93,0.9,0.86,0.88,2000,0
T5 (Conditional),HATE,92.2,0.81,0.76,0.79,1071,0
T5 (Conditional),SST2,93.5,0.94,0.94,0.94,872,0
GPT-Neo Zero-Shot,CARER,35.35,0.61,0.23,0.18,2000,N/A
GPT-Neo Zero-Shot,HATE,88.7,0.44,0.5,0.47,1071,N/A
GPT-Neo Zero-Shot,SST2,52.06,0.76,0.51,0.36,872,N/A
GPT-Neo Few-Shot,CARER,35.25,0.48,0.27,0.2,2000,N/A
GPT-Neo Few-Shot,HATE,88.8,0.44,0.5,0.47,1071,N/A
GPT-Neo Few-Shot,SST2,73.17,0.81,0.74,0.72,872,N/A
GPT-Neo Few-Shot CoT,CARER,55.98,0.52,0.5,0.5,2000,1214
GPT-Neo Few-Shot CoT,HATE,80.78,0.44,0.45,0.45,1071,N/A
GPT-Neo Few-Shot CoT,SST2,65.08,0.69,0.66,0.64,872,N/A
LLAMA Zero-Shot,CARER,57.105,0.51,0.44,0.46,1886,114
LLAMA Zero-Shot,HATE,70.7447,0.61,0.78,0.59,752,319
LLAMA Zero-Shot,SST2,93.7574,0.94,0.94,0.94,849,23
LLAMA Few-Shot,CARER,56.0021,0.49,0.45,0.46,1916,84
LLAMA Few-Shot,HATE,86.2924,0.62,0.81,0.65,766,305
LLAMA Few-Shot,SST2,95.9057,0.96,0.96,0.96,806,66
LLAMA Few-Shot CoT,CARER,56.3646,0.5,0.46,0.47,1909,91
LLAMA Few-Shot CoT,HATE,84.0565,0.66,0.81,0.69,991,80
LLAMA Few-Shot CoT,SST2,95.3317,0.95,0.95,0.95,814,58
YI Zero-Shot,CARER,44.558,0.42,0.42,0.38,1957,43
YI Zero-Shot,HATE,53.1809,0.59,0.71,0.48,1006,65
YI Zero-Shot,SST2,91.6376,0.92,0.92,0.92,861,11
YI Few-Shot,CARER,52.3536,0.48,0.45,0.43,1912,88
YI Few-Shot,HATE,74.5677,0.62,0.75,0.63,983,88
YI Few-Shot,SST2,93.599,0.94,0.94,0.94,828,44
YI Few-Shot CoT,CARER,55.0901,0.47,0.45,0.44,1886,114
YI Few-Shot CoT,HATE,83.3661,0.67,0.77,0.7,1016,55
YI Few-Shot CoT,SST2,93.4704,0.94,0.94,0.93,827,45
Human Evaluation,CARER,46,0.4,0.42,0.39,400,0
Human Evaluation,HATE,73,0.6,0.73,0.6,400,0
Human Evaluation,SST2,83,0.83,0.83,0.83,400,0
